#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
37.7383003   21.3393993   5.17527008   3.71603990   14.0202999   0.877550006   6.58964014   21.2437000   78.8094025   
#S  83  Bi
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
37.7142982   22.4542007   4.84548998   4.14815998   13.8301001   0.832220018   6.27051020   24.4692993   72.1557999   
#S  84  Po
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
37.6296997   23.1322994   5.59203005   4.04218006   13.5991001   0.786400020   5.86643982   27.8677998   68.1616974   
#S  85  At
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
37.4971008   23.5634995   7.15953016   3.45923996   13.3183002   0.740119994   5.42693996   29.8349991   66.3563995   
#S  86  Rn
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
37.3307991   23.8932991   9.02221966   2.77348995   12.9796000   0.693539977   4.98695993   30.0338001   65.5799026   
#S  87  Fr
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
37.1902008   24.1306000   11.5025997   1.47979999   12.6868000   0.653029978   4.61304998   29.2597008   257.964996   
#S  88  Ra
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
36.9819984   24.2495003   11.8718996   2.72428012   12.1641998   0.603940010   4.17856979   24.3782005   200.024002   
#S  89  Ac
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
36.8704987   24.7131004   12.3888998   3.26501012   11.7483997   0.564580023   3.88775992   23.1506004   161.725998   
#S  90  Th
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
36.7753983   25.2506008   13.0681000   3.63790989   11.2496996   0.525099993   3.61658001   22.3409996   139.164001   
#S  91  Pa
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
37.1456985   25.2998009   13.7846003   3.29610991   11.4561005   0.520200014   3.66300011   20.6539001   150.973007   
#S  92  U 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
37.2807999   25.6562996   14.3500996   3.30732012   11.3864002   0.502390027   3.58561993   19.6341991   146.632996   
